year|district_name|block_name|cluster_name|school_id|sch_name|moi|percentmathlevelMinOrAbove|percentKannadalevelMinOrAbove|class|TotalStudents|MathAboveAvg|MathAvg|MathMin|MathBelowMin|KannadaReadingAboveAvg|KannadaReadingAvg|KannadaReadingMin|KannadaReadingBelowMin
2012-13|Bangalore|Anekal|Bannerghatta|307|G.H.P.S.Bannerugatta|Kannada|90.41|93.15|7|73|50|16|0|7|52|16|0|5
2012-13|Bangalore|Anekal|Bannerghatta|308|G.H.P.S.Saklwara|Kannada|71.43|71.43|7|7|2|3|0|2|4|1|0|2
2012-13|Bangalore|Anekal|Bannerghatta|306|G.H.P.S.Malenallasandra|Kannada|100|100|7|13|8|5|0|0|11|2|0|0
2012-13|Bangalore|Anekal|Bannerghatta|305|G.H.P.S.Begihalli|Kannada|92.86|92.86|7|14|10|3|0|1|9|4|0|1
2012-13|Bangalore|Anekal|Bannerghatta|304|G.H.P.S.Mantapa|Kannada|84|92|7|25|11|10|0|4|19|4|0|2
2012-13|Bangalore|Anekal|Bannerghatta|303|G.H.P.S.Kanayakana agrahara|Kannada|70|100|7|10|3|4|0|3|6|4|0|0
2012-13|Bangalore|Anekal|Bannerghatta|302|G.H.P.S.Bilwardanahalli|Kannada|83.33|93.33|7|30|10|15|0|5|17|11|0|2
2012-13|Bangalore|Anekal|Bannerghatta|301|G.H.P.S.Bayatarayanapura|Kannada|100|100|7|6|1|5|0|0|4|2|0|0
2012-13|Bangalore|Anekal|Haragadde|310|Harugadde|Kannada|90|98.33|7|60|35|19|0|6|35|24|0|1
2012-13|Bangalore|Anekal|Haragadde|311|Jigani|Kannada|86.17|94.68|7|94|39|42|0|13|59|29|1|5
2012-13|Bangalore|Anekal|Haragadde|312|Madapattana|Kannada|93.33|100|7|15|13|1|0|1|14|1|0|0
2012-13|Bangalore|Anekal|Haragadde|313|Lingapura|Kannada|100|100|7|4|0|4|0|0|2|2|0|0
2012-13|Bangalore|Anekal|Haragadde|314|Nosenoor|Kannada|90|100|7|10|4|3|2|1|5|5|0|0
2012-13|Bangalore|Anekal|Harapanahalli|325|Harapanahalli|Kannada|93.33|93.33|7|15|12|2|0|1|11|3|0|1
2012-13|Bangalore|Anekal|Harapanahalli|326|Krishanadoddi|Kannada|94.44|100|7|18|14|3|0|1|14|4|0|0
